Matriz,Build,Threads,Static_Time,Static_GBps,Guided_Time,Guided_GBps,Balanced_Time,Balanced_GBps,Checksum_OK
bcsstk14.mtx,build_spmv_parallel,2,2.12583e-05,37.5182,2.09739e-05,38.027,1.93085e-05,41.3068,YES
bcsstk14.mtx,build_spmv_parallel,4,1.65758e-05,48.1167,1.27968e-05,62.3257,1.13616e-05,70.199,YES
bcsstk14.mtx,build_spmv_parallel,8,1.41142e-05,56.5084,1.21294e-05,65.7552,1.4879e-05,53.604,YES
bcsstk14.mtx,build_spmv_parallel,12,1.56455e-05,50.9776,1.34024e-05,59.5095,1.42625e-05,55.9209,YES
bcsstk14.mtx,build_spmv_parallel,16,3.37749e-05,23.6143,1.42324e-05,56.0391,1.50278e-05,53.073,YES
bcsstk14.mtx,build_spmv_parallel,20,4.92701e-05,16.1877,4.90817e-05,16.2499,4.79487e-05,16.6339,YES
bcsstk14.mtx,build_spmv_parallel,24,5.33518e-05,14.9493,5.55078e-05,14.3686,5.46861e-05,14.5845,YES
bcsstk18.mtx,build_spmv_parallel,1,0.000121814,16.6487,0.000118332,17.1385,0.000115693,17.5295,YES
bcsstk18.mtx,build_spmv_parallel,2,6.20586e-05,32.6795,6.07e-05,33.4109,6.00586e-05,33.7678,YES
bcsstk18.mtx,build_spmv_parallel,4,4.40876e-05,46.0003,3.32998e-05,60.9026,4.09264e-05,49.5534,YES
bcsstk18.mtx,build_spmv_parallel,8,2.8065e-05,72.2623,2.50345e-05,81.01,2.78125e-05,72.9186,YES
bcsstk18.mtx,build_spmv_parallel,12,2.28842e-05,88.6219,2.1734e-05,93.3121,4.05699e-05,49.9889,YES
bcsstk18.mtx,build_spmv_parallel,16,2.47023e-05,82.0995,2.05567e-05,98.656,2.27204e-05,89.2608,YES
bcsstk18.mtx,build_spmv_parallel,20,3.76883e-05,53.8109,4.19154e-05,48.3842,4.51429e-05,44.925,YES
bcsstk18.mtx,build_spmv_parallel,24,4.32624e-05,46.8778,4.60889e-05,44.0029,4.27676e-05,47.4201,YES
G3_circuit.mtx,build_spmv_parallel,1,0.0049757,24.8487,0.00495278,24.9637,0.00492826,25.0879,YES
G3_circuit.mtx,build_spmv_parallel,2,0.00384377,32.1662,0.00331975,37.2437,0.00343853,35.9571,YES
G3_circuit.mtx,build_spmv_parallel,4,0.00261713,47.2424,0.0025189,49.0847,0.00263204,46.9748,YES
G3_circuit.mtx,build_spmv_parallel,8,0.00238157,51.9152,0.00213996,57.7765,0.0023341,52.971,YES
G3_circuit.mtx,build_spmv_parallel,12,0.00323092,38.2676,0.0024086,51.3325,0.00275221,44.9237,YES
G3_circuit.mtx,build_spmv_parallel,16,0.00272809,45.3208,0.00248442,49.7659,0.0028361,43.5949,YES
G3_circuit.mtx,build_spmv_parallel,20,0.00273052,45.2805,0.00245822,50.2963,0.00283899,43.5505,YES
G3_circuit.mtx,build_spmv_parallel,24,0.0026602,46.4776,0.00246797,50.0976,0.00274415,45.0557,YES
bcsstk14.mtx,build-noopt_spmv_parallel,1,0.000205478,3.88155,0.000201288,3.96235,0.000201132,3.96541,YES
bcsstk14.mtx,build-noopt_spmv_parallel,2,0.000107711,7.40474,0.000105797,7.53871,0.000107532,7.41708,YES
bcsstk14.mtx,build-noopt_spmv_parallel,4,6.07212e-05,13.135,5.37732e-05,14.8321,5.62941e-05,14.1679,YES
bcsstk14.mtx,build-noopt_spmv_parallel,8,5.59958e-05,14.2434,4.04073e-05,19.7383,5.07112e-05,15.7277,YES
bcsstk14.mtx,build-noopt_spmv_parallel,12,3.88023e-05,20.5548,3.4216e-05,23.3099,4.50712e-05,17.6958,YES
bcsstk14.mtx,build-noopt_spmv_parallel,16,3.48367e-05,22.8946,3.49299e-05,22.8335,4.98204e-05,16.0089,YES
bcsstk14.mtx,build-noopt_spmv_parallel,20,4.97455e-05,16.0331,4.53298e-05,17.5949,4.85704e-05,16.4209,YES
bcsstk14.mtx,build-noopt_spmv_parallel,24,4.43646e-05,17.9777,4.02259e-05,19.8273,3.88601e-05,20.5242,YES
bcsstk18.mtx,build-noopt_spmv_parallel,1,0.000562749,3.60381,0.000567034,3.57658,0.000562288,3.60677,YES
bcsstk18.mtx,build-noopt_spmv_parallel,2,0.000280642,7.22645,0.000268784,7.54525,0.000293195,6.91704,YES
bcsstk18.mtx,build-noopt_spmv_parallel,4,0.000181617,11.1666,0.000143607,14.1222,0.000159498,12.7152,YES
bcsstk18.mtx,build-noopt_spmv_parallel,8,0.000127415,15.9168,8.41045e-05,24.1134,0.00010762,18.8444,YES
bcsstk18.mtx,build-noopt_spmv_parallel,12,9.33318e-05,21.7294,6.39566e-05,31.7097,8.04654e-05,25.2039,YES
bcsstk18.mtx,build-noopt_spmv_parallel,16,7.2436e-05,27.9977,5.51828e-05,36.7514,6.50502e-05,31.1766,YES
bcsstk18.mtx,build-noopt_spmv_parallel,20,6.64134e-05,30.5367,5.33165e-05,38.0378,6.39913e-05,31.6925,YES
bcsstk18.mtx,build-noopt_spmv_parallel,24,5.99753e-05,33.8147,5.35419e-05,37.8777,5.60198e-05,36.2023,YES
G3_circuit.mtx,build-noopt_spmv_parallel,1,0.0306202,4.03784,0.0305549,4.04646,0.0303976,4.06741,YES
G3_circuit.mtx,build-noopt_spmv_parallel,2,0.0203739,6.06853,0.017178,7.19754,0.018765,6.58883,YES
G3_circuit.mtx,build-noopt_spmv_parallel,4,0.0104237,11.8614,0.00872663,14.1681,0.0100283,12.3291,YES
G3_circuit.mtx,build-noopt_spmv_parallel,8,0.00558768,22.1272,0.00436873,28.301,0.00510507,24.219,YES
G3_circuit.mtx,build-noopt_spmv_parallel,12,0.00499604,24.7475,0.00403025,30.6779,0.00494991,24.9781,YES
G3_circuit.mtx,build-noopt_spmv_parallel,16,0.00424337,29.1371,0.00367142,33.6762,0.00401015,30.8316,YES
G3_circuit.mtx,build-noopt_spmv_parallel,20,0.00372821,33.1633,0.00311513,39.69,0.00361138,34.2361,YES
G3_circuit.mtx,build-noopt_spmv_parallel,24,0.00331558,37.2905,0.00307449,40.2146,0.00327456,37.7576,YES
