Matriz,Build,Rows,Cols,NNZ,AvgTimeSec,Bandwidth_GBps,GFLOPs,ArithIntensity
bcsstk14.mtx,build_spmv,1806,1806,63454,4.35607e-05,18.3094,2.91336,0.159118
bcsstk18.mtx,build_spmv,11948,11948,149090,9.50341e-05,21.3402,3.13761,0.147028
G3_circuit.mtx,build_spmv,1585478,1585478,7660826,0.00553339,22.3443,2.76895,0.123922
bcsstk14.mtx,build-noopt_spmv,1806,1806,63454,0.000402934,1.97941,0.31496,0.159118
bcsstk18.mtx,build-noopt_spmv,11948,11948,149090,0.00101691,1.99432,0.293222,0.147028
G3_circuit.mtx,build-noopt_spmv,1585478,1585478,7660826,0.0574451,2.15231,0.266718,0.123922
